Species;Isolate;Substrate;Dish;Radius;MeasureRadius_7D;MeasureRadius_1D
C_cattleyicola;C5;PDA;D4;R3;3.1;0.442857143
C_cattleyicola;C5;PDA;D4;R4;2.9;0.414285714
C_cattleyicola;C5;SNA;D1;R1;2.9;0.414285714
C_cattleyicola;C5;SNA;D1;R2;3;0.428571429
C_cattleyicola;C5;SNA;D1;R3;3;0.428571429
C_cattleyicola;C5;SNA;D1;R4;2.9;0.414285714
C_cattleyicola;C5;SNA;D2;R1;3.3;0.471428571
C_cattleyicola;C5;SNA;D2;R2;3;0.428571429
C_cattleyicola;C5;SNA;D2;R3;2.9;0.414285714
C_cattleyicola;C5;SNA;D2;R4;2.9;0.414285714
C_cattleyicola;C5;SNA;D3;R1;2.9;0.414285714
C_cattleyicola;C5;SNA;D3;R2;2.9;0.414285714
C_cattleyicola;C5;SNA;D3;R3;2.8;0.4
C_cattleyicola;C5;SNA;D3;R4;2.8;0.4
C_cattleyicola;C5;SNA;D4;R1;3.1;0.442857143
C_cattleyicola;C5;SNA;D4;R2;2.9;0.414285714
C_cattleyicola;C5;SNA;D4;R3;3.1;0.442857143
C_cattleyicola;C5;SNA;D4;R4;2.9;0.414285714
C_cattleyicola;C5;OA;D1;R1;3;0.428571429
C_cattleyicola;C5;OA;D1;R2;2.9;0.414285714
C_cattleyicola;C5;OA;D1;R3;3;0.428571429
C_cattleyicola;C5;OA;D1;R4;3.2;0.457142857
C_cattleyicola;C5;OA;D2;R1;3.1;0.442857143
C_cattleyicola;C5;OA;D2;R2;2.9;0.414285714
C_cattleyicola;C5;OA;D2;R3;3;0.428571429
C_cattleyicola;C5;OA;D2;R4;3;0.428571429
C_cattleyicola;C5;OA;D3;R1;3.3;0.471428571
C_cattleyicola;C5;OA;D3;R2;2.8;0.4
C_cattleyicola;C5;OA;D3;R3;3.1;0.442857143
C_cattleyicola;C5;OA;D3;R4;3;0.428571429
C_cattleyicola;C5;OA;D4;R1;3.2;0.457142857
C_cattleyicola;C5;OA;D4;R2;3;0.428571429
C_cattleyicola;C5;OA;D4;R3;3.1;0.442857143
C_cattleyicola;C5;OA;D4;R4;3.1;0.442857143
C_boninense;C7;PDA;D1;R1;2.1;0.3
C_boninense;C7;PDA;D1;R2;2.2;0.314285714
C_boninense;C7;PDA;D1;R3;2;0.285714286
C_boninense;C7;PDA;D1;R4;2.1;0.3
C_boninense;C7;PDA;D2;R1;2;0.285714286
C_boninense;C7;PDA;D2;R2;2.1;0.3
C_boninense;C7;PDA;D2;R3;2.1;0.3
C_boninense;C7;PDA;D2;R4;2.1;0.3
C_boninense;C7;PDA;D3;R1;2;0.285714286
C_boninense;C7;PDA;D3;R2;2.1;0.3
C_boninense;C7;PDA;D3;R3;2.1;0.3
C_boninense;C7;PDA;D3;R4;2.1;0.3
C_boninense;C7;PDA;D4;R1;2.1;0.3
C_boninense;C7;PDA;D4;R2;2.1;0.3
C_boninense;C7;PDA;D4;R3;2;0.285714286
C_boninense;C7;PDA;D4;R4;2;0.285714286
C_boninense;C7;SNA;D1;R1;2.9;0.414285714
C_boninense;C7;SNA;D1;R2;2.9;0.414285714
C_boninense;C7;SNA;D1;R3;2.7;0.385714286
C_boninense;C7;SNA;D1;R4;2.9;0.414285714
C_boninense;C7;SNA;D2;R1;2.9;0.414285714
C_boninense;C7;SNA;D2;R2;2.9;0.414285714
C_boninense;C7;SNA;D2;R3;2.8;0.4
C_boninense;C7;SNA;D2;R4;2.9;0.414285714
C_boninense;C7;SNA;D3;R1;2.9;0.414285714
C_boninense;C7;SNA;D3;R2;2.9;0.414285714
C_boninense;C7;SNA;D3;R3;2.9;0.414285714
C_boninense;C7;SNA;D3;R4;2.9;0.414285714
C_boninense;C7;SNA;D4;R1;2.9;0.414285714
C_boninense;C7;SNA;D4;R2;2.9;0.414285714
C_boninense;C7;SNA;D4;R3;2.9;0.414285714
C_boninense;C7;SNA;D4;R4;2.7;0.385714286
C_boninense;C7;OA;D1;R1;2.7;0.385714286
C_boninense;C7;OA;D1;R2;2.7;0.385714286
C_boninense;C7;OA;D1;R3;2.7;0.385714286
C_boninense;C7;OA;D1;R4;2.8;0.4
C_boninense;C7;OA;D2;R1;2.8;0.4
C_boninense;C7;OA;D2;R2;2.8;0.4
C_boninense;C7;OA;D2;R3;2.8;0.4
C_boninense;C7;OA;D2;R4;2.9;0.414285714
C_boninense;C7;OA;D3;R1;2.9;0.414285714
C_boninense;C7;OA;D3;R2;2.9;0.414285714
C_boninense;C7;OA;D3;R3;2.8;0.4
C_boninense;C7;OA;D3;R4;2.8;0.4
C_boninense;C7;OA;D4;R1;2.8;0.4
C_boninense;C7;OA;D4;R2;2.8;0.4
C_boninense;C7;OA;D4;R3;2.9;0.414285714
C_boninense;C7;OA;D4;R4;2.8;0.4
C_boninense;C10;PDA;D1;R1;2.9;0.414285714
C_boninense;C10;PDA;D1;R2;2.8;0.4
C_boninense;C10;PDA;D1;R3;2.8;0.4
C_boninense;C10;PDA;D1;R4;2.8;0.4
C_boninense;C10;PDA;D2;R1;2.9;0.414285714
C_boninense;C10;PDA;D2;R2;2.9;0.414285714
C_boninense;C10;PDA;D2;R3;2.8;0.4
C_boninense;C10;PDA;D2;R4;2.9;0.414285714
C_boninense;C10;PDA;D3;R1;2.9;0.414285714
C_boninense;C10;PDA;D3;R2;2.9;0.414285714
C_boninense;C10;PDA;D3;R3;2.9;0.414285714
C_boninense;C10;PDA;D3;R4;2.8;0.4
C_boninense;C10;PDA;D4;R1;2.9;0.414285714
C_boninense;C10;PDA;D4;R2;2.9;0.414285714
C_boninense;C10;PDA;D4;R3;2.8;0.4
C_boninense;C10;PDA;D4;R4;2.8;0.4
C_boninense;C10;SNA;D1;R1;2.8;0.4
C_boninense;C10;SNA;D1;R2;2.8;0.4
C_boninense;C10;SNA;D1;R3;2.7;0.385714286
C_boninense;C10;SNA;D1;R4;2.7;0.385714286
